stock1, stock2, p_value
LU0122624777, PLLUBAW00013, 1.648957136974923e-11
PLRAFAK00018, PLZRWZW00012, 1.851839101740009e-11
PLSANWL00012, PLVSTLA00011, 1.8982720199561706e-11
PLELEKT00016, PLKETY000011, 1.9184918785509425e-11
PLKLNR000017, PLNTSYS00013, 1.9459274310815688e-11
PLZBMZC00019, PLZTKMA00017, 2.1884835209764023e-11
LU0122624777, PLDUDA000016, 2.7381221195763227e-11
PLFAMUR00012, PLVSTLA00011, 2.7670847830814783e-11
LU0122624777, PLOPTTC00011, 2.8257783280921962e-11
LU0122624777, PLPKN0000018, 2.8259698181457653e-11
LU0122624777, PLREMAK00016, 3.099584599378279e-11
PLELEKT00016, PLKOMPP00017, 3.258465822585192e-11
LU0646112838, PLALIOR00045, 3.2870930349995025e-11
LU0122624777, PLXPLUS00013, 3.357970567889391e-11
PLNFI0700018, PLPONAR00012, 3.371915322889818e-11
PLELEKT00016, PLFORTE00012, 3.504173913732947e-11
PLCMPLD00016, PLLSSFT00016, 3.537736261753076e-11
PLBAUMA00017, PLUNBEP00015, 3.596281666415753e-11
PLELEKT00016, PLWAWEL00013, 3.608402220306346e-11
PLBAUMA00017, PLPWRMD00011, 3.8230445416687295e-11
PLIDMSA00044, PLKRINK00014, 4.5185563461935916e-11
PLIDMSA00044, PLKPPD000017, 4.6295735289829635e-11
LU0122624777, PLBH00000012, 4.657686105023472e-11
PLKMPTR00012, PLUNBEP00015, 4.666275256574606e-11
PLDUDA000016, PLTRFRM00018, 4.674635405120102e-11
PLELEKT00016, PLINTCS00010, 4.690072411210448e-11
PLATM0000021, PLKPPD000017, 4.7271291592878716e-11
LU0122624777, PLINTCS00010, 5.2572228874470515e-11
LU0122624777, PLCAMMD00032, 5.3074916695440666e-11
AT0000827209, PLMSTPL00018, 5.470912845401923e-11
LU0122624777, PLAPATR00018, 5.5270954512601565e-11
LU0122624777, PLCCC0000016, 5.8129941983285746e-11
PLTRNSU00013, PLZSTAL00012, 5.908313451163116e-11
LU0122624777, PLBIOTN00029, 6.227964175745166e-11
PLDUDA000016, PLPKO0000016, 6.352655777509359e-11
